level_index,morph_level_percent,t,size_deg,stimulus_file,screen_file,width_px,height_px,luminance_ff_level
0,0.0000,0.000000,10.0,stimuli/morph00_level000.00_size010.0.png,screens/morph00_level000.00_size010.0.png,160,138,21.369
1,12.5000,0.125000,10.0,stimuli/morph01_level012.50_size010.0.png,screens/morph01_level012.50_size010.0.png,160,138,21.662
2,25.0000,0.250000,10.0,stimuli/morph02_level025.00_size010.0.png,screens/morph02_level025.00_size010.0.png,160,138,21.814
3,37.5000,0.375000,10.0,stimuli/morph03_level037.50_size010.0.png,screens/morph03_level037.50_size010.0.png,160,138,21.801
4,50.0000,0.500000,10.0,stimuli/morph04_level050.00_size010.0.png,screens/morph04_level050.00_size010.0.png,160,138,21.524
5,62.5000,0.625000,10.0,stimuli/morph05_level062.50_size010.0.png,screens/morph05_level062.50_size010.0.png,160,138,20.937
6,75.0000,0.750000,10.0,stimuli/morph06_level075.00_size010.0.png,screens/morph06_level075.00_size010.0.png,160,138,20.028
7,87.5000,0.875000,10.0,stimuli/morph07_level087.50_size010.0.png,screens/morph07_level087.50_size010.0.png,160,138,18.846
8,100.0000,1.000000,10.0,stimuli/morph08_level100.00_size010.0.png,screens/morph08_level100.00_size010.0.png,160,138,17.495
0,0.0000,0.000000,20.0,stimuli/morph00_level000.00_size020.0.png,screens/morph00_level000.00_size020.0.png,321,276,40.214
1,12.5000,0.125000,20.0,stimuli/morph01_level012.50_size020.0.png,screens/morph01_level012.50_size020.0.png,321,276,40.761
2,25.0000,0.250000,20.0,stimuli/morph02_level025.00_size020.0.png,screens/morph02_level025.00_size020.0.png,321,276,41.048
3,37.5000,0.375000,20.0,stimuli/morph03_level037.50_size020.0.png,screens/morph03_level037.50_size020.0.png,321,276,41.020
4,50.0000,0.500000,20.0,stimuli/morph04_level050.00_size020.0.png,screens/morph04_level050.00_size020.0.png,321,276,40.502
5,62.5000,0.625000,20.0,stimuli/morph05_level062.50_size020.0.png,screens/morph05_level062.50_size020.0.png,321,276,39.402
6,75.0000,0.750000,20.0,stimuli/morph06_level075.00_size020.0.png,screens/morph06_level075.00_size020.0.png,321,276,37.692
7,87.5000,0.875000,20.0,stimuli/morph07_level087.50_size020.0.png,screens/morph07_level087.50_size020.0.png,321,276,35.472
8,100.0000,1.000000,20.0,stimuli/morph08_level100.00_size020.0.png,screens/morph08_level100.00_size020.0.png,321,276,32.934
0,0.0000,0.000000,30.0,stimuli/morph00_level000.00_size030.0.png,screens/morph00_level000.00_size030.0.png,482,414,58.180
1,12.5000,0.125000,30.0,stimuli/morph01_level012.50_size030.0.png,screens/morph01_level012.50_size030.0.png,482,414,58.971
2,25.0000,0.250000,30.0,stimuli/morph02_level025.00_size030.0.png,screens/morph02_level025.00_size030.0.png,482,414,59.384
3,37.5000,0.375000,30.0,stimuli/morph03_level037.50_size030.0.png,screens/morph03_level037.50_size030.0.png,482,414,59.343
4,50.0000,0.500000,30.0,stimuli/morph04_level050.00_size030.0.png,screens/morph04_level050.00_size030.0.png,482,414,58.590
5,62.5000,0.625000,30.0,stimuli/morph05_level062.50_size030.0.png,screens/morph05_level062.50_size030.0.png,482,414,57.000
6,75.0000,0.750000,30.0,stimuli/morph06_level075.00_size030.0.png,screens/morph06_level075.00_size030.0.png,482,414,54.531
7,87.5000,0.875000,30.0,stimuli/morph07_level087.50_size030.0.png,screens/morph07_level087.50_size030.0.png,482,414,51.320
8,100.0000,1.000000,30.0,stimuli/morph08_level100.00_size030.0.png,screens/morph08_level100.00_size030.0.png,482,414,47.655
0,0.0000,0.000000,40.0,stimuli/morph00_level000.00_size040.0.png,screens/morph00_level000.00_size040.0.png,642,552,75.551
1,12.5000,0.125000,40.0,stimuli/morph01_level012.50_size040.0.png,screens/morph01_level012.50_size040.0.png,642,552,76.577
2,25.0000,0.250000,40.0,stimuli/morph02_level025.00_size040.0.png,screens/morph02_level025.00_size040.0.png,642,552,77.112
3,37.5000,0.375000,40.0,stimuli/morph03_level037.50_size040.0.png,screens/morph03_level037.50_size040.0.png,642,552,77.059
4,50.0000,0.500000,40.0,stimuli/morph04_level050.00_size040.0.png,screens/morph04_level050.00_size040.0.png,642,552,76.085
5,62.5000,0.625000,40.0,stimuli/morph05_level062.50_size040.0.png,screens/morph05_level062.50_size040.0.png,642,552,74.017
6,75.0000,0.750000,40.0,stimuli/morph06_level075.00_size040.0.png,screens/morph06_level075.00_size040.0.png,642,552,70.813
7,87.5000,0.875000,40.0,stimuli/morph07_level087.50_size040.0.png,screens/morph07_level087.50_size040.0.png,642,552,66.643
