level_index,morph_level_percent,t,size_deg,stimulus_file,screen_file,width_px,height_px,luminance_ff_level
0,0.0000,0.000000,10.0,stimuli/morph00_level000.00_size010.0.png,screens/morph00_level000.00_size010.0.png,160,138,20.921
1,12.5000,0.125000,10.0,stimuli/morph01_level012.50_size010.0.png,screens/morph01_level012.50_size010.0.png,160,138,20.655
2,25.0000,0.250000,10.0,stimuli/morph02_level025.00_size010.0.png,screens/morph02_level025.00_size010.0.png,160,138,20.138
3,37.5000,0.375000,10.0,stimuli/morph03_level037.50_size010.0.png,screens/morph03_level037.50_size010.0.png,160,138,19.464
4,50.0000,0.500000,10.0,stimuli/morph04_level050.00_size010.0.png,screens/morph04_level050.00_size010.0.png,160,138,18.795
5,62.5000,0.625000,10.0,stimuli/morph05_level062.50_size010.0.png,screens/morph05_level062.50_size010.0.png,160,138,18.187
6,75.0000,0.750000,10.0,stimuli/morph06_level075.00_size010.0.png,screens/morph06_level075.00_size010.0.png,160,138,17.656
7,87.5000,0.875000,10.0,stimuli/morph07_level087.50_size010.0.png,screens/morph07_level087.50_size010.0.png,160,138,17.418
8,100.0000,1.000000,10.0,stimuli/morph08_level100.00_size010.0.png,screens/morph08_level100.00_size010.0.png,160,138,17.262
0,0.0000,0.000000,20.0,stimuli/morph00_level000.00_size020.0.png,screens/morph00_level000.00_size020.0.png,321,277,39.437
1,12.5000,0.125000,20.0,stimuli/morph01_level012.50_size020.0.png,screens/morph01_level012.50_size020.0.png,321,277,38.928
2,25.0000,0.250000,20.0,stimuli/morph02_level025.00_size020.0.png,screens/morph02_level025.00_size020.0.png,321,277,37.958
3,37.5000,0.375000,20.0,stimuli/morph03_level037.50_size020.0.png,screens/morph03_level037.50_size020.0.png,321,277,36.691
4,50.0000,0.500000,20.0,stimuli/morph04_level050.00_size020.0.png,screens/morph04_level050.00_size020.0.png,321,277,35.436
5,62.5000,0.625000,20.0,stimuli/morph05_level062.50_size020.0.png,screens/morph05_level062.50_size020.0.png,321,277,34.288
6,75.0000,0.750000,20.0,stimuli/morph06_level075.00_size020.0.png,screens/morph06_level075.00_size020.0.png,321,277,33.289
7,87.5000,0.875000,20.0,stimuli/morph07_level087.50_size020.0.png,screens/morph07_level087.50_size020.0.png,321,277,32.839
8,100.0000,1.000000,20.0,stimuli/morph08_level100.00_size020.0.png,screens/morph08_level100.00_size020.0.png,321,277,32.550
0,0.0000,0.000000,30.0,stimuli/morph00_level000.00_size030.0.png,screens/morph00_level000.00_size030.0.png,482,415,57.023
1,12.5000,0.125000,30.0,stimuli/morph01_level012.50_size030.0.png,screens/morph01_level012.50_size030.0.png,482,415,56.292
2,25.0000,0.250000,30.0,stimuli/morph02_level025.00_size030.0.png,screens/morph02_level025.00_size030.0.png,482,415,54.888
3,37.5000,0.375000,30.0,stimuli/morph03_level037.50_size030.0.png,screens/morph03_level037.50_size030.0.png,482,415,53.053
4,50.0000,0.500000,30.0,stimuli/morph04_level050.00_size030.0.png,screens/morph04_level050.00_size030.0.png,482,415,51.237
5,62.5000,0.625000,30.0,stimuli/morph05_level062.50_size030.0.png,screens/morph05_level062.50_size030.0.png,482,415,49.582
6,75.0000,0.750000,30.0,stimuli/morph06_level075.00_size030.0.png,screens/morph06_level075.00_size030.0.png,482,415,48.143
7,87.5000,0.875000,30.0,stimuli/morph07_level087.50_size030.0.png,screens/morph07_level087.50_size030.0.png,482,415,47.493
8,100.0000,1.000000,30.0,stimuli/morph08_level100.00_size030.0.png,screens/morph08_level100.00_size030.0.png,482,415,47.073
0,0.0000,0.000000,40.0,stimuli/morph00_level000.00_size040.0.png,screens/morph00_level000.00_size040.0.png,642,553,74.030
1,12.5000,0.125000,40.0,stimuli/morph01_level012.50_size040.0.png,screens/morph01_level012.50_size040.0.png,642,553,73.077
2,25.0000,0.250000,40.0,stimuli/morph02_level025.00_size040.0.png,screens/morph02_level025.00_size040.0.png,642,553,71.251
3,37.5000,0.375000,40.0,stimuli/morph03_level037.50_size040.0.png,screens/morph03_level037.50_size040.0.png,642,553,68.871
4,50.0000,0.500000,40.0,stimuli/morph04_level050.00_size040.0.png,screens/morph04_level050.00_size040.0.png,642,553,66.517
5,62.5000,0.625000,40.0,stimuli/morph05_level062.50_size040.0.png,screens/morph05_level062.50_size040.0.png,642,553,64.367
6,75.0000,0.750000,40.0,stimuli/morph06_level075.00_size040.0.png,screens/morph06_level075.00_size040.0.png,642,553,62.501
7,87.5000,0.875000,40.0,stimuli/morph07_level087.50_size040.0.png,screens/morph07_level087.50_size040.0.png,642,553,61.657
8,100.0000,1.000000,40.0,stimuli/morph08_level100.00_size040.0.png,screens/morph08_level100.00_size040.0.png,642,553,61.111
0,0.0000,0.000000,50.0,stimuli/morph00_level000.00_size050.0.png,screens/morph00_level000.00_size050.0.png,802,692,90.689
1,12.5000,0.125000,50.0,stimuli/morph01_level012.50_size050.0.png,screens/morph01_level012.50_size050.0.png,802,692,89.522
2,25.0000,0.250000,50.0,stimuli/morph02_level025.00_size050.0.png,screens/morph02_level025.00_size050.0.png,802,692,87.290
3,37.5000,0.375000,50.0,stimuli/morph03_level037.50_size050.0.png,screens/morph03_level037.50_size050.0.png,802,692,84.376
4,50.0000,0.500000,50.0,stimuli/morph04_level050.00_size050.0.png,screens/morph04_level050.00_size050.0.png,802,692,81.488
5,62.5000,0.625000,50.0,stimuli/morph05_level062.50_size050.0.png,screens/morph05_level062.50_size050.0.png,802,692,78.857
6,75.0000,0.750000,50.0,stimuli/morph06_level075.00_size050.0.png,screens/morph06_level075.00_size050.0.png,802,692,76.564
7,87.5000,0.875000,50.0,stimuli/morph07_level087.50_size050.0.png,screens/morph07_level087.50_size050.0.png,802,692,75.532
8,100.0000,1.000000,50.0,stimuli/morph08_level100.00_size050.0.png,screens/morph08_level100.00_size050.0.png,802,692,74.866
